day_Actual,month_Actual,year_Actual,Actual Price,Actual Harvest Season,day_Predicted,month_Predicted,year_Predicted,Predicted Price,Predicted Harvest Season
24,9,2017,33.23760377141533,peak harvest,24,9,2017,35.43759421357654,peak harvest
26,9,2017,44.31,peak harvest,26,9,2017,43.77946781483338,peak harvest
27,9,2017,44.31,peak harvest,27,9,2017,44.02311700203134,peak harvest
27,9,2017,44.31,peak harvest,27,9,2017,44.02311700203134,peak harvest
27,9,2017,44.31,peak harvest,27,9,2017,44.02311700203134,peak harvest
27,9,2017,44.31,peak harvest,27,9,2017,44.02311700203134,peak harvest
4,10,2017,47.0,peak harvest,4,10,2017,44.5,peak harvest
5,10,2017,44.5,peak harvest,5,10,2017,44.5,peak harvest
10,10,2017,44.5,peak harvest,10,10,2017,44.93838072746885,peak harvest
11,10,2017,44.5,peak harvest,11,10,2017,44.16837811314246,peak harvest
12,10,2017,44.5,peak harvest,12,10,2017,45.05176587301587,peak harvest
15,10,2017,33.23760377141533,peak harvest,15,10,2017,33.23760377141528,peak harvest
18,10,2017,44.5,peak harvest,18,10,2017,44.46571889485701,peak harvest
18,10,2017,44.5,peak harvest,18,10,2017,44.46571889485701,peak harvest
18,10,2017,47.0,peak harvest,18,10,2017,44.46571889485701,peak harvest
18,10,2017,47.0,peak harvest,18,10,2017,44.46571889485701,peak harvest
19,10,2017,44.5,peak harvest,19,10,2017,45.93650278971401,peak harvest
22,10,2017,33.23760377141533,peak harvest,22,10,2017,33.23760377141528,peak harvest
23,10,2017,44.5,peak harvest,23,10,2017,44.74989597028532,peak harvest
24,10,2017,44.5,peak harvest,24,10,2017,44.882824270037396,peak harvest
25,10,2017,44.5,peak harvest,25,10,2017,44.51875,peak harvest
25,10,2017,44.5,peak harvest,25,10,2017,44.51875,peak harvest
25,10,2017,47.0,peak harvest,25,10,2017,44.51875,peak harvest
25,10,2017,47.0,peak harvest,25,10,2017,44.51875,peak harvest
27,10,2017,44.5,peak harvest,27,10,2017,44.8336409643172,peak harvest
1,11,2017,33.23760377141533,peak harvest,1,11,2017,33.23760377141528,peak harvest
8,11,2017,44.53,peak harvest,8,11,2017,44.85044603771416,peak harvest
12,11,2017,33.23760377141533,peak harvest,12,11,2017,33.499812026177466,peak harvest
13,11,2017,44.53,peak harvest,13,11,2017,42.22844692917819,peak harvest
14,11,2017,47.05,peak harvest,14,11,2017,44.41707603771422,peak harvest
17,11,2017,44.53,peak harvest,17,11,2017,44.53840000000007,peak harvest
19,11,2017,33.23760377141533,peak harvest,19,11,2017,33.23760377141528,peak harvest
19,11,2017,33.23760377141533,peak harvest,19,11,2017,33.23760377141528,peak harvest
19,11,2017,33.23760377141533,peak harvest,19,11,2017,33.23760377141528,peak harvest
19,11,2017,33.23760377141533,peak harvest,19,11,2017,33.23760377141528,peak harvest
21,11,2017,44.53,peak harvest,21,11,2017,45.11404272727273,peak harvest
24,11,2017,47.05,peak harvest,24,11,2017,44.31864207542837,peak harvest
27,11,2017,44.53,peak harvest,27,11,2017,44.529700000000055,peak harvest
2,12,2017,33.23760377141533,Unknown,2,12,2017,33.35052773370113,Unknown
2,12,2017,33.23760377141533,Unknown,2,12,2017,33.35052773370113,Unknown
2,12,2017,33.23760377141533,Unknown,2,12,2017,33.35052773370113,Unknown
2,12,2017,33.23760377141533,Unknown,2,12,2017,33.35052773370113,Unknown
4,12,2017,44.5,Unknown,4,12,2017,45.14636904761905,Unknown
6,12,2017,44.5,Unknown,6,12,2017,45.20314484126985,Unknown
7,12,2017,44.5,Unknown,7,12,2017,44.95367334054835,Unknown
9,12,2017,33.23760377141533,Unknown,9,12,2017,33.36133884481224,Unknown
9,12,2017,33.23760377141533,Unknown,9,12,2017,33.36133884481224,Unknown
9,12,2017,33.23760377141533,Unknown,9,12,2017,33.36133884481224,Unknown
9,12,2017,33.23760377141533,Unknown,9,12,2017,33.36133884481224,Unknown
13,12,2017,44.5,Unknown,13,12,2017,45.0045165945166,Unknown
15,12,2017,47.0,Unknown,15,12,2017,44.5,Unknown
18,12,2017,44.5,Unknown,18,12,2017,43.93688018857076,Unknown
19,12,2017,44.5,Unknown,19,12,2017,44.96164682539682,Unknown
20,12,2017,44.5,Unknown,20,12,2017,45.08893849206349,Unknown
21,12,2017,44.5,Unknown,21,12,2017,44.51,Unknown
22,12,2017,44.5,Unknown,22,12,2017,44.2747520754283,Unknown
28,12,2017,44.5,Unknown,28,12,2017,45.05625,Unknown
31,12,2017,33.23760377141533,Unknown,31,12,2017,33.23760377141528,Unknown
1,1,2018,33.23760377141533,Unknown,1,1,2018,33.414651695986976,Unknown
1,1,2018,33.23760377141533,Unknown,1,1,2018,33.414651695986976,Unknown
1,1,2018,33.23760377141533,Unknown,1,1,2018,33.414651695986976,Unknown
1,1,2018,33.23760377141533,Unknown,1,1,2018,33.414651695986976,Unknown
5,1,2018,42.09,Unknown,5,1,2018,42.194574999999986,Unknown
8,1,2018,42.09,Unknown,8,1,2018,41.99962290876163,Unknown
9,1,2018,42.09,Unknown,9,1,2018,42.21427777777778,Unknown
9,1,2018,42.09,Unknown,9,1,2018,42.21427777777778,Unknown
9,1,2018,42.09,Unknown,9,1,2018,42.21427777777778,Unknown
9,1,2018,42.09,Unknown,9,1,2018,42.21427777777778,Unknown
11,1,2018,42.09,Unknown,11,1,2018,42.20660833333332,Unknown
14,1,2018,33.23760377141533,Unknown,14,1,2018,33.23760377141528,Unknown
19,1,2018,42.44,Unknown,19,1,2018,42.09000000000005,Unknown
20,1,2018,33.23760377141533,Unknown,20,1,2018,33.32612773370113,Unknown
21,1,2018,33.23760377141533,Unknown,21,1,2018,33.23760377141528,Unknown
21,1,2018,33.23760377141533,Unknown,21,1,2018,33.23760377141528,Unknown
21,1,2018,33.23760377141533,Unknown,21,1,2018,33.23760377141528,Unknown
21,1,2018,33.23760377141533,Unknown,21,1,2018,33.23760377141528,Unknown
22,1,2018,42.44,Unknown,22,1,2018,38.54904150856614,Unknown
24,1,2018,42.09,Unknown,24,1,2018,42.15785000000001,Unknown
27,1,2018,33.23760377141533,Unknown,27,1,2018,33.769885045130366,Unknown
29,1,2018,42.09,Unknown,29,1,2018,41.99619235320609,Unknown
30,1,2018,42.44,Unknown,30,1,2018,42.09233333333339,Unknown
1,2,2018,36.07,Unknown,1,2,2018,34.73629523809525,Unknown
3,2,2018,33.23760377141533,Unknown,3,2,2018,33.57302396951318,Unknown
3,2,2018,33.23760377141533,Unknown,3,2,2018,33.57302396951318,Unknown
3,2,2018,33.23760377141533,Unknown,3,2,2018,33.57302396951318,Unknown
